,party_id,user_id,attendance_status,created_at,ext,invitation_code,invitee_ids,role,updated_at
186,7cbf43ca-4d61-11ec-8410-9033d619910c,5e64bb62-4be0-11ec-aad5-eccb9bc4f187,left,2021-11-24 20:04:00.186,,9a75eb23,,guest,2021-11-24 20:19:58.205
187,c721d5d8-4049-11ec-ad47-a273009342b9,086c0164-3e09-11ec-af1c-166bc3c05ee1,left,2021-11-08 04:10:15.935,,33787052,"SortedSet([UUID('69881ffa-3e22-11ec-a810-ddc3ee85e7df'), UUID('774f3b62-3e97-11ec-a752-999697ce82c9')])",host,2021-11-08 04:10:18.267
188,c721d5d8-4049-11ec-ad47-a273009342b9,69881ffa-3e22-11ec-a810-ddc3ee85e7df,left,2021-11-09 10:29:54.418,,910847d9,,guest,2021-11-09 10:30:03.257
189,0fc1498a-5d7e-11ec-80cb-2d953c207706,efcf0f12-4bef-11ec-9846-6562e6fb1b2a,left,2021-12-15 08:07:35.328,,e8531b24,SortedSet([UUID('b9042ef2-5d80-11ec-8835-8c2eb032edbc')]),host,2021-12-15 08:27:53.638
190,0fc1498a-5d7e-11ec-80cb-2d953c207706,b9042ef2-5d80-11ec-8835-8c2eb032edbc,,2021-12-15 08:27:53.644,,39324f34,,guest,2021-12-15 08:27:53.644
191,a9277cb6-5d4c-11ec-9f29-e86740f1d4bc,ac47e572-3f9f-11ec-8706-336d1ac4848e,,2021-12-15 02:16:06.532,,dcaa1dc5,,guest,2021-12-15 02:16:06.532
192,a9277cb6-5d4c-11ec-9f29-e86740f1d4bc,0b940da4-3fa4-11ec-ae44-e418f1ed08b7,left,2021-12-15 02:13:57.856,,93ce766c,SortedSet([UUID('ac47e572-3f9f-11ec-8706-336d1ac4848e')]),host,2021-12-15 02:16:06.527
193,77d0c388-4beb-11ec-aa0e-651001dfa70e,ee248f30-4bd5-11ec-9b73-dd21c2b4b8f3,left,2021-11-22 23:42:29.177,,1751cb48,,guest,2021-11-22 23:46:07.183
194,77d0c388-4beb-11ec-aa0e-651001dfa70e,5e64bb62-4be0-11ec-aad5-eccb9bc4f187,left,2021-11-22 23:25:24.126,,7fa6c2d9,"SortedSet([UUID('2a62ccd0-4be7-11ec-927f-6becf3f7aa96'), UUID('a2380034-4be4-11ec-8a8a-f97b5077e4e7'), UUID('ee248f30-4bd5-11ec-9b73-dd21c2b4b8f3')])",host,2021-11-22 23:25:33.523
195,77d0c388-4beb-11ec-aa0e-651001dfa70e,a2380034-4be4-11ec-8a8a-f97b5077e4e7,left,2021-11-22 23:26:00.769,,934b8119,,guest,2021-11-22 23:46:09.038
196,77d0c388-4beb-11ec-aa0e-651001dfa70e,2a62ccd0-4be7-11ec-927f-6becf3f7aa96,left,2021-11-22 23:26:35.314,,44fcd3ff,,guest,2021-11-22 23:46:06.110
197,a9c6e962-5d39-11ec-afc7-07edc37d270c,2a62ccd0-4be7-11ec-927f-6becf3f7aa96,left,2021-12-14 23:57:58.461,{'can_speak': 'accepted'},7b9573b4,,host,2021-12-14 23:57:58.461
198,6f61deb0-4c42-11ec-adb1-0c74c87b29b2,4b96e0f6-323f-11ec-b1ea-94bbbdaee87f,left,2021-11-23 09:50:20.768,,24d38ed4,,guest,2021-11-23 10:08:38.208
199,6f61deb0-4c42-11ec-adb1-0c74c87b29b2,fcd85ac4-354c-11ec-8a67-a069389d8a76,left,2021-11-23 09:47:56.194,,ceb1a37d,SortedSet([UUID('4b96e0f6-323f-11ec-b1ea-94bbbdaee87f')]),host,2021-11-23 09:49:33.455
200,36b1c180-3bc0-11ec-bcd5-7ad4ba4e9e08,4b96e0f6-323f-11ec-b1ea-94bbbdaee87f,left,2021-11-02 09:43:35.374,,e340d874,,guest,2021-11-08 04:06:23.193
